Step,Temp,c_myFlux[1]
1815,321.16114,-118.62747
1820,325.99722,-200.54804
1825,333.09531,-112.74793
1830,336.80109,-17.199964
1835,335.55161,-46.436339
1840,334.34723,-129.66639
1845,336.16307,-158.15676
1850,335.51592,-111.03093
1855,333.81669,-53.383497
1860,336.68753,-71.975256
1865,342.3403,-132.73314
1870,342.57645,-118.17375
1875,338.04028,-64.033042
1880,338.41777,-114.23644
1885,341.12256,-197.63827
1890,338.84384,-168.82527
1895,337.53423,-111.66196
1900,339.45396,-112.07754
1905,337.7593,-112.54675
1910,335.30681,-47.303306
1915,336.32784,56.202923
1920,338.25154,106.25593
1925,336.06568,68.873394
1930,331.21498,-4.6766865
1935,329.84682,-30.901599
1940,330.85097,13.984859
1945,328.51977,3.4545248
1950,323.36531,-98.921045
1955,322.66548,-184.93138
1960,327.10054,-178.38668
1965,326.91403,-164.63749
1970,322.45998,-221.49499
1975,324.49902,-235.31106
1980,329.53048,-110.94232
1985,328.81492,71.159999
1990,325.15164,135.97516
1995,325.0538,90.948877
2000,323.80407,47.717978
2005,319.30409,29.897203
2010,318.48227,42.9165
2015,324.84604,80.80369
2020,331.61043,72.123285
2025,329.74521,-17.25521
2030,326.36798,-87.98189
2035,331.9446,-82.73186
2040,336.68251,-42.205902
2045,331.63442,39.254038
2050,326.81901,101.20615
2055,328.91119,-5.5483727
2060,328.79147,-188.18639
2065,319.65788,-161.06605
2070,316.7459,71.961113
2075,327.81102,148.76357
2080,337.36805,-78.456249
2085,335.52292,-330.67498
2090,333.32813,-255.56476
2095,338.33981,38.455726
2100,336.30386,136.05295
2105,323.55994,-54.795841
2110,320.80741,-183.77755
2115,329.47646,-51.342293
2120,327.65197,107.99227
2125,314.36996,99.466488
2130,310.10433,40.208896
2135,320.4859,16.688453
2140,325.80477,26.530258
2145,316.02334,123.04774
2150,310.00607,267.64152
2155,317.04782,306.66107
2160,319.90225,154.73173
2165,313.2103,-71.803931
2170,310.86431,-130.50539
2175,313.81594,28.800326
2180,314.00914,147.43816
2185,310.76007,16.207531
2190,310.4651,-183.84883
2195,317.15724,-178.67851
2200,322.65307,66.217387
